arquivo,cor_fundo,ruido_std,snr_fundo,psnr_estimado,diametro_px,distorcao_circularidade,lab_l,lab_a,lab_b,bgr_b,bgr_g,bgr_r,moeda_detectada,diametro_medido_mm,erro_dimensional_relativo,delta_e
20260908_085924.jpg,azul,3.7630,41.4109,36.6201,168.9123,1.2048,41.9511,132.9830,131.0299,36.5971,38.3211,49.4210,True,27.1878,0.6956,2.7068
20260908_085927.jpg,azul,3.7211,41.8430,36.7174,168.9030,0.5988,46.6366,134.1305,131.4375,39.8072,41.4630,55.2313,True,27.1863,0.6900,5.5195
20260908_085929.jpg,azul,3.1143,49.8621,38.2637,170.2061,1.8072,54.9763,134.5866,132.7871,44.9756,48.1529,63.8880,True,27.3961,1.4669,13.3343
20260908_085932.jpg,azul,2.7820,56.0514,39.2437,168.8336,1.2121,49.2758,133.7099,131.1419,42.4481,43.9823,56.8646,True,27.1752,0.6487,7.4192
20260908_085934.jpg,azul,3.0052,51.7336,38.5732,169.3171,1.2048,42.1875,133.1549,130.7488,37.2556,38.4490,49.7204,True,27.2530,0.9369,2.6200
20260908_085936.jpg,azul,3.0635,50.8188,38.4065,170.0147,1.1976,38.8695,132.7995,130.4690,34.8025,35.7850,46.3421,True,27.3653,1.3528,4.3095
20260908_085941.jpg,azul,3.3686,46.3993,37.5818,167.3890,0.6061,39.1671,132.4136,130.4537,34.9274,36.1486,46.2076,True,26.9426,0.2125,3.8961
20260908_085944.jpg,azul,3.6011,43.3256,37.0020,168.4500,0.0000,39.0279,132.3877,130.4208,34.8615,36.0364,46.0516,True,27.1134,0.4200,4.0014
20260908_085946.jpg,azul,3.4315,45.1899,37.4211,168.1110,0.6024,37.8762,132.3857,130.4270,33.9191,35.0970,45.0300,True,27.0588,0.2179,5.0602
20260908_085949.jpg,azul,3.5488,43.6660,37.1293,167.8326,0.0000,37.6586,132.4140,130.4543,33.7232,34.9207,44.8698,True,27.0140,0.0519,5.2778
20260908_090813.jpg,branco,2.3862,69.5685,40.5766,165.4092,1.8293,45.9597,130.0988,128.2838,43.8010,42.9928,47.5339,True,26.6240,1.3927,3.6123
20260908_090816.jpg,branco,2.5876,63.7901,39.8727,163.7904,2.4540,43.9057,129.7102,128.0746,42.2882,41.4038,45.4155,True,26.3634,2.3578,2.2036
20260908_090819.jpg,branco,2.6450,62.6058,39.6824,162.8351,3.0675,44.6368,130.2693,127.9942,43.1009,41.8161,46.6173,True,26.2096,2.9272,2.5134
20260908_090822.jpg,branco,2.6118,65.1812,39.7922,163.2487,1.8405,48.4384,130.0092,128.6838,45.2189,45.1401,49.4450,True,26.2762,2.6807,5.9431
20260908_090825.jpg,branco,2.4625,66.5125,40.3033,166.2144,3.0120,37.3758,129.5018,128.0559,36.8255,35.9327,39.9240,True,26.7536,0.9127,5.5913
20260908_090828.jpg,branco,2.3819,68.9441,40.5924,167.0299,1.8072,37.5339,129.4465,127.9909,37.0325,36.0517,40.0017,True,26.8848,0.4266,5.4741
